"","Year","Yield","Rainfall"
"1",1890,24.5,9.6
"2",1891,33.7,12.9
"3",1892,27.9,9.9
"4",1893,27.5,8.7
"5",1894,21.7,6.8
"6",1895,31.9,12.5
"7",1896,36.8,13
"8",1897,29.9,10.1
"9",1898,30.2,10.1
"10",1899,32,10.1
"11",1900,34,10.8
"12",1901,19.4,7.8
"13",1902,36,16.2
"14",1903,30.2,14.1
"15",1904,32.4,10.6
"16",1905,36.4,10
"17",1906,36.9,11.5
"18",1907,31.5,13.6
"19",1908,30.5,12.1
"20",1909,32.3,12
"21",1910,34.9,9.3
"22",1911,30.1,7.7
"23",1912,36.9,11
"24",1913,26.8,6.9
"25",1914,30.5,9.5
"26",1915,33.3,16.5
"27",1916,29.7,9.3
"28",1917,35,9.4
"29",1918,29.9,8.7
"30",1919,35.2,9.5
"31",1920,38.3,11.6
"32",1921,35.2,12.1
"33",1922,35.5,8
"34",1923,36.7,10.7
"35",1924,26.8,13.9
"36",1925,38,11.3
"37",1926,31.7,11.6
"38",1927,32.6,10.4
